"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"938794",875.101166235304,-5.25681238137406,1.4416113096029e-05,0.000331046378914267,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"586350",15.4504398662491,5.23281476778,9.23426555632046e-06,0.000220054290521372,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Delftia","DC"
"891054",3979.10461589206,-7.47295858428179,5.46945481325721e-08,3.21041230666377e-06,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"633100",2.68568259357514,-2.74848648069854,0.000640458967965999,0.00770380644324816,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"354406",17.4412534883851,6.12761204163971,0.000199660911055651,0.00303821362244924,"p__Firmicutes","c__Bacilli","o__Bacillales","f__","g__","DC"
"212584",6053.43506667194,8.36583854215441,3.4645780921047e-07,1.36742566572757e-05,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","DC"
"672806",195.819630915391,8.91205250348224,6.17856128208022e-10,7.80352289926731e-08,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Lysinibacillus","DC"
"770499",28.3486002341762,5.26844592493873,0.000461252580019908,0.00600579390273344,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Lysinibacillus","DC"
"963344",106.176428798343,4.66783719759104,7.25165916203842e-07,2.57391046812879e-05,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Enhydrobacter","DC"
"563369",1354.59800922987,-5.01567731269101,7.18438551190563e-05,0.00129626841450526,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"574493",18.7297149796314,6.77243714794964,0.000525349543718208,0.00663516473716096,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Geobacillus","DC"
"532569",42.7344493897085,3.34878148756839,3.27017278465355e-05,0.000677086594593021,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","DC"
"579049",15.8376706674064,5.8051308533914,7.01600270291389e-06,0.000173749243407456,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","DC"
"581474",328.359480624802,6.98068608515079,3.02961881129508e-08,2.12578253259205e-06,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","DC"
"362172",1952.9335949757,-5.86001546483477,1.635599689417e-06,5.16440601933418e-05,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"324748",23562.0983598751,8.95021935118033,6.90904961211864e-08,3.79396941743732e-06,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","DC"
"47365",298.182147611384,6.63236422946885,2.15182238574498e-07,9.12894646179336e-06,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","DC"
"4422388",125.883394181098,-4.36908885894148,0.000460459551788282,0.00600579390273344,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","CeD"
"540737",422.183856864498,8.52657015737829,3.11070216690403e-06,8.73070408177731e-05,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Planomicrobium","DC"
