"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"554705",7473.51837079204,8.04631446864142,2.51835442650232e-09,3.07239240033284e-06,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","FDR"
"938794",851.555284753399,-5.42526821121599,2.84961620506395e-06,0.000286983301123341,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"891054",3891.11475622797,-7.03493454948377,9.95633096528662e-08,5.51235761248717e-05,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","CeD"
"532569",34.0760011612378,3.30094609716048,3.89434797930591e-06,0.000295499756822937,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","FDR"
"441265",38.6272961020432,-3.7888259719135,0.000220904506206822,0.00727457865778314,"p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Corynebacteriaceae","g__Corynebacterium","CeD"
"4301917",20.924577907742,6.8395680106835,1.63170781968159e-06,0.000185310285826908,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","FDR"
"509047",37.766516337356,6.04370793963542,1.15608489093263e-06,0.000181659843856459,"p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","FDR"
"1030307",14.728618082831,3.82808763540856,6.32520492770513e-06,0.000406144737463172,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","FDR"
"4334479",84.1717565776884,4.03251934025096,1.19121209086203e-06,0.000181659843856459,"p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","FDR"
"787709",81.6252285241691,3.45627069533949,2.61739743501069e-05,0.00138835863944045,"p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","FDR"
"968954",43.5458971408683,3.29944201330201,1.53128820194234e-05,0.000849168911986204,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","FDR"
