"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"554705",7080.31929075212,6.86097534516846,8.40695009154827e-08,1.00658535985186e-05,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","FDR"
"1024520",477.816229191438,-7.96137274572946,1.06249939436587e-07,1.06249939436587e-05,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","DC"
"750840",8.64184524826991,-3.82121527023152,0.000379821836762696,0.00727318410822185,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","DC"
"354406",18.2473942486661,-5.85005877947861,0.0001262413104214,0.00391783377169861,"p__Firmicutes","c__Bacilli","o__Bacillales","f__","g__","DC"
"212584",6054.93810960617,-6.1871526298946,0.000164120255021933,0.00447600695514363,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","DC"
"672806",195.997492431391,-5.98955876729128,0.000146424499835289,0.00439273499505866,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Lysinibacillus","DC"
"770499",25.9276991622423,-5.00098567770365,0.000199677827238403,0.00485702823012332,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Lysinibacillus","DC"
"963344",105.766280658251,-3.78815147195179,4.05743695596646e-05,0.00146067730414792,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Enhydrobacter","DC"
"15366",25.1487796989859,1.40768787745268,0.00031483038980813,0.00674636549588851,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","FDR"
"581474",353.07873427186,-8.76231958871252,4.16268550865815e-10,7.49283391558467e-08,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","DC"
