"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"969149",18.0602749757835,4.09664679031948,0.000216015385632699,0.00307379270047841,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"174353",113.467268679131,6.46247889111258,1.83855326722511e-07,2.16320061876013e-05,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","DC"
"300662",27.2209231490571,4.69676008510973,2.27449186348404e-05,0.000822607890626726,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"4041792",11.8482204133768,4.57231857993241,0.000655733309612936,0.00729713477876959,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"518002",12.7646329151448,4.02684784541005,0.000913161474980866,0.00932499012098108,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"193710",375.586682884891,-4.41049252412893,5.7944459547572e-06,0.00033530527258195,"p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Eubacterium]","CeD"
"342666",91.8938042972325,4.0415593959472,5.19062441177956e-05,0.00132513587924255,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"191108",11.1768022983775,3.80420098412892,0.000289726193811988,0.00369826965042361,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","DC"
"341024",13.202386357053,3.0031787439377,0.000649122614197362,0.00729713477876959,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","DC"
"193679",8.38910072352353,2.6812336627314,0.000837161622163161,0.00875489503659787,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","DC"
"1121530",617.736903393601,3.6111187955403,0.000285635077065024,0.00369826965042361,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","DC"
"339358",97.577925784226,-4.45170869589605,8.65053206812442e-05,0.0018768890078883,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__","CeD"
"532569",22.657197734307,5.53801003810696,4.68862674127233e-05,0.00127728963923966,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","DC"
"821080",593.352833207922,3.4273294917491,0.000167592338771968,0.00274471981234091,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","DC"
"187492",16.8632746674199,-5.80986696745348,0.000315573297299582,0.00393868003631145,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Christensenellaceae","g__","CeD"
