"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"281015",134.726266118831,4.35453970741391,0.000445422587714914,0.00631368842586378,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"174353",13.7349307212634,3.75552867688047,0.000176888416773536,0.00329086158705766,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","FDR"
"578022",19.0353350946604,-4.07846546433516,0.000295961493863831,0.00471952882179287,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","CeD"
"620319",15.6028627336513,5.2851416733664,0.000647047195465732,0.00791524856919039,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","FDR"
"302932",52.9419490870735,3.83927451972737,2.76729501782822e-06,0.000117675926234314,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"15366",9.96884687553952,-3.52531971985139,0.000458079253095894,0.00633583734280502,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"184114",20.3539122333718,3.21295820341449,1.45180604765689e-05,0.000482038777845962,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"347138",62.7899154429434,-3.61798253607083,0.000823097776500283,0.00918782893018441,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","CeD"
"814952",14.7100031728085,5.30869028538164,0.000142676199013472,0.00295446753864248,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"581474",707.725691628295,-7.38060411442536,1.7565426449555e-06,9.80370363715786e-05,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"312070",50.8553258072532,3.60850404144725,1.98567155121667e-05,0.000572001514592415,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"1110763",145.473482665162,3.97059591561359,0.000461175170528921,0.00633583734280502,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Serratia","FDR"
"425721",10.6075217575589,5.0275189726548,0.000717095781031032,0.00853822043280949,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"47365",759.476320258125,-6.96159751124415,1.45745207187469e-05,0.000482038777845962,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"199268",4.19238628312437,3.8252799828819,2.35536656637062e-05,0.000657294482427801,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__SMB53","FDR"
"3754778",47.9695029734237,-8.00394064117427,3.49142813599861e-09,5.89201667756678e-07,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","CeD"
"1663575",5.15695789862006,-5.46541364997165,0.00028814091644673,0.00471952882179287,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","CeD"
"311947",7.74871525809416,3.08615508803962,0.000487911207627306,0.0064573642126981,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"4392549",34.4221067812532,-3.83832860341097,8.53561511594335e-05,0.00181483435679462,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"555945",431.161296547255,3.93402423954439,1.16328934886992e-07,8.65681157117368e-06,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__","FDR"
"656889",16.5206209765095,5.0376076517881,0.000165713869179142,0.00321701054732551,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"299770",23.2937521016224,-4.07646343405897,0.000292103246126584,0.00471952882179287,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","CeD"
"300136",10.7553634955185,-3.59772205421564,5.14317021049408e-05,0.00127579194388089,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__","CeD"
"255359",139.247368193568,-10.4282362127093,5.56419883154484e-10,1.65627651885651e-07,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"574021",260.981150081495,-6.70077336931171,7.36512670918587e-05,0.00164426453782575,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"786708",350.597981786427,7.82807116700397,1.88342775010557e-06,9.89353518143693e-05,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"559204",18.1341705813574,4.74260657767733,0.000382472584418377,0.005508838998155,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"358781",24.2346988694656,2.85989789475468,0.000801716430785309,0.00910402358741607,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"186092",6.69383150020262,4.02508123690977,2.4387466584995e-06,0.000114621092949476,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"584241",130.07237118338,-3.14079542384687,0.000740160163810586,0.00869688192477438,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","CeD"
"549756",132.333286769958,-7.51494595182578,0.000191240804624211,0.00341556077058842,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"528421",40.7254118421615,6.48650490404143,7.04026341338513e-08,5.71541384377538e-06,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"316496",28.8920562030237,3.30005262849458,6.53817863316176e-05,0.00149707526138806,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"271013",6.05289583848699,4.13209833142761,1.94632508790809e-05,0.000572001514592415,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"292820",23.2753376805113,-5.92464454906465,2.74395891575462e-06,0.000117675926234314,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"639627",13.7233208332455,5.45166888698691,2.52549928691092e-05,0.00068341541309438,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"299879",34.4354028021914,-4.28198950401975,0.000378169600743634,0.005508838998155,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__","CeD"
"1084045",1069.8123399545,6.29482725996619,1.8100143901059e-08,1.79593650040508e-06,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Lysinibacillus","FDR"
"1039594",707.765300986194,9.96337938258015,5.4835025442383e-14,2.4483838860024e-11,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","FDR"
"1055212",10.7419120325908,-5.65995137032674,0.000627916827373877,0.00778791287284545,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","CeD"
"967427",8.33867078436979,-3.93265242479784,0.000470138303819565,0.00636111371683139,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"554163",13.5302250189761,4.55780658774894,0.000185877440021763,0.00338752150896805,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"303326",15.0208202115023,3.33466033284997,1.75320555098166e-05,0.000539866398974697,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","FDR"
"553080",478.245403390716,-3.9008762043421,0.000577361701599836,0.0073654857075522,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","CeD"
"197204",26.8917589930268,2.97683083594223,4.91381155749412e-06,0.000199456078220102,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"351357",4.76295907203479,3.57065788422706,6.09050957977842e-05,0.00146995271749787,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"1656781",393.986310594584,-5.89451772681184,2.36162360387688e-06,0.000114621092949476,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","CeD"
"579608",482.083933193928,-4.29745409599344,1.57320896449617e-06,9.36583736863389e-05,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"266935",70.6681086763541,5.032095518349,3.25492655592465e-08,2.90664941444072e-06,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"592160",3465.44349036071,-6.72535351583783,1.427264036721e-06,9.10390560565608e-05,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"4290144",10.339431716123,-4.86768195086187,0.000610256272274379,0.00767547677663409,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__","CeD"
"195294",5.35136978870582,2.42901438599522,0.000498945275113291,0.0064573642126981,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"180721",2.98574355801723,4.06380285639563,0.000156399453855706,0.00310366027318101,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"1108275",255.847368594163,8.23140671641798,1.21803508930488e-08,1.35963166843657e-06,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","FDR"
"349024",61.0467152975806,-2.861128990143,0.000243916145489547,0.00418879072927241,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"332718",14.5962772650868,-3.09106938035056,0.000663577897188926,0.00800777111067177,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"235424",15.085890343054,3.63027239986309,3.69132398183993e-05,0.000969515386995017,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"586093",69.813207385725,-4.83399221055034,0.000329660560198288,0.00507563586650123,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"535375",267.498109842465,-4.0081525091851,6.27979845736089e-05,0.00147575263747981,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","CeD"
"316515",95.2626684127589,-5.11507136989102,0.000768839270062924,0.00891653854761287,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"330469",4.75922458271461,3.212475271234,0.000355475136998611,0.00529065495566266,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"190453",77.926602173733,4.02670345078728,5.31397899005175e-06,0.000206321010352879,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"197105",1320.59784187096,-3.61057093076177,0.000497689626217914,0.0064573642126981,"p__Firmicutes","c__Erysipelotrichi","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Eubacterium]","CeD"
"196315",17.6357565448697,4.01723301812677,1.51474742539518e-05,0.000483096232456392,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__SMB53","FDR"
"236811",12.4741176012751,5.37694928531039,0.000145572868645318,0.00295446753864248,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Trabulsiella","FDR"
"776980",5.99695347960391,4.50862310999178,0.000303771970282451,0.00475909420109172,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__Trabulsiella","FDR"
"4303423",8.0320848460127,4.88998708462483,4.98550035450556e-05,0.00127201480473528,"p__Cyanobacteria","c__4C0d-2","o__YS2","f__","g__","FDR"
"179512",15.9031293745941,4.38461958622258,8.40175244628168e-06,0.000300110597381182,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","FDR"
"918242",26.4187378266664,6.17556165075937,0.000353893942500784,0.00529065495566266,"p__Cyanobacteria","c__4C0d-2","o__YS2","f__","g__","FDR"
"295086",93.2944907950466,11.1592191800797,4.91246025337950e-09,6.26689572323984e-07,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","FDR"
"365181",4.28106377310821,-23.2754950564602,4.70102039009353e-15,4.19801120835353e-12,"p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","CeD"
"553352",91.8597334155523,-6.82118442477808,0.000272857739294503,0.00459739549415077,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"828043",11.6342618926048,-3.67640869640628,7.59834473865146e-05,0.00165495654917457,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"290375",10.2868297139808,3.98779207660701,0.000175685320364441,0.00329086158705766,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__","FDR"
"1997391",25.7856962615028,-11.495210329539,3.63984961522108e-09,5.89201667756678e-07,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"291266",20.813614200062,3.84248515882349,3.95880179903703e-09,5.89201667756678e-07,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"287813",9.74547472989332,-6.3129793700222,0.000839637420023139,0.00925674340840325,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","CeD"
"581021",15.9507354386659,5.7761908796662,0.000805395143791567,0.00910402358741607,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"564704",504.473930056572,-4.75906821434951,2.29008893193645e-07,1.57311493555327e-05,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__","CeD"
"340960",39.4139771507244,-5.64221301450833,0.000218052048436298,0.00381804861281596,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","CeD"
"361811",183.186870589767,3.16707830378708,6.1344496651561e-06,0.000228252647957683,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
