"","baseMean","log2FoldChange","pvalue","padj","Phylum","Class","Order","Family","Genus","DifferentaillyAbundant"
"750840",119.876274360892,6.59096847152457,6.94528955605629e-08,2.52808539840449e-05,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","FDR"
"511659",64.9945400329853,6.27161511498601,1.91352902441096e-06,0.000261196711832096,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","FDR"
"369797",4.82434966250046,3.077604366498,1.18374366399279e-05,0.000994344677753941,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","FDR"
"579049",14.3434244825533,6.22130583872866,0.000120200144648318,0.00546910658149845,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","FDR"
"347138",67.728215274316,-3.4371979660566,0.000155539430941576,0.00629070587363709,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","DC"
"1110312",129.888493120454,4.62664990290167,0.000200960191674268,0.00783744747529645,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","FDR"
"786708",140.161391541456,5.60095518028245,9.6583646737167e-07,0.000210938684473973,"p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacteriales","f__Enterobacteriaceae","g__","FDR"
"232900",15.3203395810795,4.39773350675961,1.14295970804627e-05,0.000994344677753941,"p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__","FDR"
"358781",32.7252491660731,2.78824680155773,4.37756372467966e-05,0.00251594715123694,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"530928",19.3810227586216,5.00110505840028,1.85660923972087e-05,0.00144815520698228,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","FDR"
"1084045",1273.56508978167,7.36229160093821,1.32825228450348e-12,1.4504514946778e-09,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Lysinibacillus","FDR"
"697578",11.5738400984447,6.91498486013967,2.37508495375049e-05,0.00153366093938288,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","FDR"
"1039594",284.695067326254,5.5278718763497,6.62095677821422e-06,0.000723008480180993,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","FDR"
"685156",56.5313945366939,3.47903668136813,0.000239356103726999,0.00871256217566276,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","FDR"
"1108275",104.527209655983,4.90145246359689,2.22970620732718e-05,0.00153366093938288,"p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","FDR"
"349024",78.2768387133227,-3.15255103372973,0.000138455258039532,0.00581512083766033,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","DC"
"157428",23.9237109495402,8.09866177075326,4.64381571674271e-07,0.000126776169067076,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","FDR"
"198053",9.5821518058402,3.89288643218247,0.000116873454790159,0.00546910658149845,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"535375",47.4449405974746,3.16515866784284,2.75118277404781e-05,0.00166905088292234,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","FDR"
"821325",439.556321444159,8.96511924093646,4.06372051473756e-11,2.21879140104671e-08,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__","FDR"
"190453",206.006611628913,3.53007374363264,0.000129715740729786,0.00566598355507705,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"918242",38.9449238732518,6.3005405411976,5.7210236469104e-05,0.00304282698379929,"p__Cyanobacteria","c__4C0d-2","o__YS2","f__","g__","FDR"
"193336",11.0353482458932,3.21705018969712,5.85159035346017e-05,0.00304282698379929,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","FDR"
"370086",8.20569441151741,2.78337491660713,0.000118964811206121,0.00546910658149845,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__","FDR"
"338757",68.9708822518936,4.08337110946453,3.38459536220309e-06,0.000410664237280642,"p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","FDR"
"1107335",53.7867162562484,-6.30046842683335,1.81126264441171e-06,0.000261196711832096,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","DC"
"988932",36.9966344306681,5.30369768108399,2.38756739647519e-05,0.00153366093938288,"p__Firmicutes","c__Clostridia","o__Clostridiales","f__","g__","FDR"
"1051517",16.4246979351179,6.91043080412881,1.38677158568527e-06,0.000252392428594719,"p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","FDR"
"583117",19.5276162310106,3.72288852915995,7.70978896543748e-06,0.000765371777296157,"p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","FDR"
"961783",95.755921715674,4.39670483069028,0.000212342000048688,0.00799577462252301,"p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","FDR"
